,G,age,job,X1,X2,D,orig_job,orig_X1,perturb_index
0,M,30.066104895196514,E,1.6833879761606851,0.15449234967512032,Y,E,1.6833879761606851,False
1,M,35.14186986396578,F,0.6089085494159177,-0.9260298057574096,N,F,0.6089085494159177,False
2,M,31.24780876752274,F,1.3551539202155027,-1.3525762171659124,Y,F,1.3551539202155027,False
3,M,28.78803850700909,E,0.7047221630596616,0.7894437792726402,Y,E,0.7047221630596616,False
4,F,47.50593482720036,F,1.2790845864481482,0.1807663999277392,Y,F,1.2790845864481482,False
5,M,30.098758195179272,E,1.2455932740875428,-0.634596904425812,Y,E,1.2455932740875428,False
6,F,47.24609851753711,F,-0.5481665818644594,1.0378496940624748,N,F,-0.5481665818644594,False
7,M,24.423617323393554,E,1.1211067026149784,-1.1073593797634371,Y,E,1.1211067026149784,False
8,M,25.59052349967575,F,1.4152750562428025,0.5320475664168866,N,F,1.4152750562428025,False
9,F,42.54299049995358,F,-0.2753806825525874,0.10349405345498963,Y,F,-0.2753806825525874,False
10,M,22.862414421336087,F,0.4756835353700784,0.7239211504277341,N,F,0.4756835353700784,False
11,M,26.206972062090067,F,1.2971396100862158,-1.7146366658281504,Y,F,1.2971396100862158,False
12,M,33.304736376176564,F,1.8411878866719436,-0.9290455178090098,Y,F,1.8411878866719436,False
13,M,31.033512852069656,E,1.5774966534259356,0.5460405403262818,N,E,1.5774966534259356,False
14,F,42.82107951684673,?,?,0.6197391782631788,Y,F,0.0596480398952341,True
15,F,38.58682802385231,?,?,-0.6808706718228104,Y,F,0.9580199537631406,True
16,F,43.67042911395545,?,?,0.502713504613289,Y,F,-1.3611825685667407,True
17,M,31.43293430563679,E,2.2059968131668963,-1.105757649556505,Y,E,2.2059968131668963,False
18,M,30.391971845372588,E,1.0044710407869537,-0.2300989786394811,Y,E,1.0044710407869537,False
19,M,26.66388447406648,E,2.30822062103534,-1.2203605404590423,N,E,2.30822062103534,False
20,M,28.67490864558981,E,2.0417198987516856,-1.9491988461591152,Y,E,2.0417198987516856,False
21,M,33.46387150811031,F,0.9851260516282012,1.2034762151571108,Y,F,0.9851260516282012,False
22,F,45.638373566040535,F,-2.052832151234209,-0.4060276855951179,N,F,-2.052832151234209,False
